file,region1p1,region1p2,count,r1rank1,r1rank2,SUM
ss__0368_0699642266_700rrs__0110108srlc15043b108zpzj02.csv,0,0,2,0,0,0
ss__0368_0699642505_510rrs__0110108srlc15044w108cgnj07.csv,220,31,1296,0.169753086,0.023919753,0.19367284
ss__0368_0699643208_905rrs__0110108srlc15044b108zpzj02.csv,2,0,2,1,0,1
ss__0368_0699643495_805rrs__0110108srlc15021w108cgnj07.csv,0,0,1296,0,0,0
ss__0368_0699644358_480rrs__0110108srlc15021b108zpzj02.csv,0,0,2,0,0,0
ss__0368_0699645157_680rrs__0110108srlc15011w108cgnj02.csv,0,0,100,0,0,0
ss__0368_0699645219_500rrs__0110108srlc15011b108zpzj02.csv,0,0,1,0,0,0
ss__0368_0699645486_870rrs__0110108srlc15000wq08cgnj02.csv,42,42,100,0.42,0.42,0.84
ss__0368_0699645649_325rrs__0110108srlc15000bq08zpzj02.csv,1,1,1,1,1,2
ss__0368_0699645918_610rrs__0110108srlc15090wz08cgnj02.csv,44,44,100,0.44,0.44,0.88
ss__0368_0699646080_645rrs__0110108srlc15090bz08zpzj02.csv,1,1,1,1,1,2
ss__0368_0699646346_540rrs__0110108srlc15080wy08cgnj02.csv,53,52,100,0.53,0.52,1.05
ss__0368_0699646508_780rrs__0110108srlc15080by08zpzj02.csv,1,1,1,1,1,2
ss__0368_0699646771_515rrs__0110108srlc15071w108cgnj02.csv,100,63,100,1,0.63,1.63
ss__0368_0699647058_310rrs__0110108srlc15071b108zpzj02.csv,1,1,1,1,1,2
ss__0368_0699647329_540rrs__0110108srlc15061w108cgnj02.csv,100,35,100,1,0.35,1.35
ss__0368_0699647616_345rrs__0110108srlc15061b108zpzj02.csv,1,1,1,1,1,2
ss__0368_0699647868_765rrs__0110108srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0370_0699813450_405rrs__0110108srlc11360w108cgnj02.csv,0,0,50,0,0,0
ss__0370_0699814099_215rrs__0110108srlc11360w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0370_0699814879_265rrs__0110108srlc11420w108cgnj07.csv,27,5,1296,0.020833333,0.003858025,0.024691358
ss__0370_0699815741_520rrs__0110108srlc11420b108zpzj02.csv,0,0,2,0,0,0
ss__0370_0699816583_410rrs__0110108srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0413_0703632359_360rrs__0220788srlc16003w104cgnj02.csv,1,0,50,0.02,0,0.02
ss__0413_0703633008_105rrs__0220788srlc16003w204cgnj02.csv,1,0,50,0.02,0,0.02
ss__0413_0703633657_015rrs__0220788srlc16003w304cgnj02.csv,5,2,100,0.05,0.02,0.07
ss__0413_0703634318_435rrs__0220788srlc16003w404cgnj02.csv,2,1,100,0.02,0.01,0.03
ss__0413_0703634772_405rrs__0220788srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0463_0708073021_435rrs__0260630srlc11360w108cgnj02.csv,0,0,50,0,0,0
ss__0463_0708073670_520rrs__0260630srlc11360w208cgnj02.csv,0,0,50,0,0,0
